frame_count,arrival_time
1080000,1746786399.6609204
1086000,1746786399.9914713
1095000,1746786400.0594199
1107000,1746786400.4651797
1155000,1746786400.5283656
1161000,1746786401.766629
1236000,1746786401.8562717
1266000,1746786401.934865
1272000,1746786402.1759546
1308000,1746786402.2717807
1311000,1746786402.3378274
1317000,1746786402.5229404
1323000,1746786402.583752
1332000,1746786402.885762
1335000,1746786402.9348679
1350000,1746786403.2098727
1383000,1746786403.2760575
1392000,1746786403.4276752
1395000,1746786403.5050979
1416000,1746786403.5683572
1419000,1746786403.9684517
1443000,1746786403.9734845
1446000,1746786404.2424204
1479000,1746786404.4484975
1485000,1746786404.9938412
1518000,1746786405.0276227
1533000,1746786405.2634697
1572000,1746786405.3478818
1584000,1746786405.6171613
1602000,1746786405.6226768
1614000,1746786405.8097823
1620000,1746786406.1616848
1641000,1746786406.2868128
1650000,1746786406.6524134
1671000,1746786406.6654
1677000,1746786407.739053
1776000,1746786407.7490368
1782000,1746786407.8223348
1785000,1746786408.1337936
1797000,1746786408.1912527
1806000,1746786409.062504
1899000,1746786409.0715053
1917000,1746786409.1851425
1923000,1746786409.361834
1935000,1746786409.5056555
1947000,1746786410.2106533
1974000,1746786410.2902217
1977000,1746786410.7599401
2040000,1746786410.8014975
2046000,1746786411.1697218
2094000,1746786411.17572
2112000,1746786411.5867376
2121000,1746786411.594736
2130000,1746786412.9454985
2226000,1746786412.9520016
2259000,1746786413.1534653
2262000,1746786413.3453825
2289000,1746786413.3513846
2301000,1746786413.674354
2319000,1746786413.8272266
2334000,1746786413.8342304
2349000,1746786413.968581
2358000,1746786414.208565
2388000,1746786414.3075151
2400000,1746786414.3155103
2409000,1746786414.4798834
2415000,1746786414.5759575
2424000,1746786414.9117267
2430000,1746786414.98993
2433000,1746786415.392407
2466000,1746786415.3984067
2469000,1746786415.6012888
2511000,1746786415.6964724
2523000,1746786415.906788
2532000,1746786416.0163894
2541000,1746786416.3544893
2562000,1746786416.4501948
2565000,1746786416.7547195
2616000,1746786416.8336496
2628000,1746786417.029234
2637000,1746786417.1362665
2652000,1746786417.3444333
2661000,1746786417.5497036
2664000,1746786417.5557141
2673000,1746786417.8572674
2697000,1746786417.9844742
2706000,1746786418.1626477
2724000,1746786418.225236
2727000,1746786418.6429806
2766000,1746786418.770543
2778000,1746786418.8350637
2790000,1746786419.1522243
2814000,1746786419.2167883
2823000,1746786419.3784707
2841000,1746786419.4574828
2847000,1746786419.597551
2853000,1746786419.7294238
2865000,1746786419.8230217
2898000,1746786419.8895984
2904000,1746786420.0360231
2913000,1746786420.2090786
2916000,1746786420.545134
2949000,1746786420.6741953
2952000,1746786420.853206
2970000,1746786420.9139805
2994000,1746786420.993305
3003000,1746786421.0314806
3006000,1746786421.2954168
3009000,1746786421.430699
3018000,1746786421.5424201
3024000,1746786421.6059694
3033000,1746786421.947914
3066000,1746786422.083075
3075000,1746786422.2414262
3093000,1746786422.352548
3102000,1746786422.4483907
3105000,1746786422.5133526
3117000,1746786422.7524877
3138000,1746786422.7990348
3147000,1746786422.865284
3171000,1746786422.9599178
3177000,1746786423.1052263
3183000,1746786423.1102207
3195000,1746786423.628474
3204000,1746786423.6790578
