frame_count,send_time
918000,1746718479.5550106
924000,1746718479.6320806
933000,1746718479.7066813
939000,1746718479.7792306
945000,1746718479.8653712
954000,1746718479.9405751
960000,1746718480.0141714
966000,1746718480.0922296
975000,1746718480.166403
978000,1746718480.2172325
984000,1746718480.2940922
990000,1746718480.3986566
1002000,1746718480.4881485
1008000,1746718480.563806
1014000,1746718480.6408951
1023000,1746718480.7192426
1029000,1746718480.79273
1038000,1746718480.8649993
1044000,1746718480.9402406
1050000,1746718481.015299
1056000,1746718481.0895114
1062000,1746718481.1690872
1071000,1746718481.2406998
1077000,1746718481.3165448
1083000,1746718481.3912814
1089000,1746718481.468845
1098000,1746718481.5460727
1104000,1746718481.6197872
1110000,1746718481.6955566
1119000,1746718481.7720797
1125000,1746718481.845396
1131000,1746718481.9152937
1137000,1746718481.989358
1143000,1746718482.0671504
1152000,1746718482.1427395
1158000,1746718482.2170827
1164000,1746718482.2898064
1170000,1746718482.366348
1176000,1746718482.440627
1185000,1746718482.5147657
1191000,1746718482.5958605
1197000,1746718482.6720371
1206000,1746718482.7506666
1212000,1746718482.8223813
1218000,1746718482.8937352
1227000,1746718482.9697556
1233000,1746718483.0450518
1239000,1746718483.1170623
1245000,1746718483.195852
1251000,1746718483.2734416
1260000,1746718483.3563604
1266000,1746718483.441114
1275000,1746718483.5194843
1281000,1746718483.593263
1290000,1746718483.6651661
1296000,1746718483.738364
1302000,1746718483.822284
1308000,1746718483.9006457
1317000,1746718483.98046
1323000,1746718484.052347
1329000,1746718484.1306007
1338000,1746718484.2047915
1344000,1746718484.2806056
1350000,1746718484.3528385
1356000,1746718484.4228709
1362000,1746718484.4936278
1371000,1746718484.5656002
1377000,1746718484.6441467
1383000,1746718484.7164996
1389000,1746718484.7879856
1395000,1746718484.8620484
1404000,1746718484.9382675
1410000,1746718485.0126421
1416000,1746718485.0916355
1422000,1746718485.162989
1431000,1746718485.2336514
1437000,1746718485.3080895
1443000,1746718485.3817787
1449000,1746718485.4526973
1455000,1746718485.529479
1464000,1746718485.5994706
1470000,1746718485.6724238
1476000,1746718485.7472942
1482000,1746718485.8208191
1488000,1746718485.8986228
1497000,1746718485.9700794
1503000,1746718486.0434053
1509000,1746718486.1163905
1515000,1746718486.1936157
1521000,1746718486.264758
1527000,1746718486.3372092
1536000,1746718486.4106948
1542000,1746718486.4841955
1548000,1746718486.568377
1554000,1746718486.6540558
1563000,1746718486.729299
1569000,1746718486.8031487
1578000,1746718486.8772538
1584000,1746718486.9552894
1590000,1746718487.0291297
1596000,1746718487.1022663
1605000,1746718487.1739922
1611000,1746718487.246136
1617000,1746718487.3211234
1626000,1746718487.4025362
1632000,1746718487.4855459
1638000,1746718487.5614214
1647000,1746718487.6332505
1650000,1746718487.7063081
1659000,1746718487.7848094
1665000,1746718487.8583548
1671000,1746718487.9365664
1680000,1746718488.0083137
1686000,1746718488.0922763
1692000,1746718488.1656144
1698000,1746718488.2418249
1707000,1746718488.320156
1713000,1746718488.3914404
1719000,1746718488.46576
1728000,1746718488.5450652
1734000,1746718488.619027
