frame_count,send_time
708000,1746718477.0859668
711000,1746718477.1189392
714000,1746718477.150831
717000,1746718477.183778
720000,1746718477.2167404
723000,1746718477.2483008
726000,1746718477.2789233
729000,1746718477.312288
732000,1746718477.3607824
735000,1746718477.3903222
738000,1746718477.4213352
741000,1746718477.4559066
744000,1746718477.4872835
747000,1746718477.5172882
750000,1746718477.5472968
753000,1746718477.5817866
756000,1746718477.6128066
759000,1746718477.645333
762000,1746718477.6790254
765000,1746718477.7108493
768000,1746718477.756229
771000,1746718477.7893152
774000,1746718477.8212347
777000,1746718477.8549874
780000,1746718477.885363
783000,1746718477.9184945
786000,1746718477.950407
789000,1746718477.9832852
792000,1746718478.0153608
795000,1746718478.0479105
798000,1746718478.0806415
801000,1746718478.1100855
804000,1746718478.1594884
807000,1746718478.191156
