frame_count,raw_arrival_time,arrival_time
945000,1746789093.5753517,1746789100.3373082
951000,1746789093.6718888,1746789100.4338453
957000,1746789093.7686946,1746789100.530651
966000,1746789093.8498993,1746789100.6118557
972000,1746789093.9085302,1746789100.6704867
978000,1746789093.9724371,1746789100.7343936
987000,1746789094.0430198,1746789100.8049762
993000,1746789094.120609,1746789100.8825655
1002000,1746789094.2142491,1746789100.9762056
1005000,1746789094.2762518,1746789101.0382082
1014000,1746789094.3588817,1746789101.1208382
1023000,1746789094.4234862,1746789101.1854427
1029000,1746789094.5195196,1746789101.281476
1035000,1746789094.5806668,1746789101.3426232
1041000,1746789094.6729884,1746789101.4349449
1047000,1746789094.7327108,1746789101.4946673
1056000,1746789094.823805,1746789101.5857615
