frame_count,raw_send_time,send_time
588000,1746789096.447847,1746789096.3976066
594000,1746789096.5316958,1746789096.4814556
603000,1746789096.603419,1746789096.5531788
609000,1746789096.6773396,1746789096.6270993
615000,1746789096.7533956,1746789096.7031553
624000,1746789096.8264627,1746789096.7762225
630000,1746789096.8982787,1746789096.8480384
636000,1746789096.9747198,1746789096.9244795
645000,1746789097.0582638,1746789097.0080235
651000,1746789097.131126,1746789097.0808856
657000,1746789097.2125204,1746789097.16228
666000,1746789097.2889767,1746789097.2387364
672000,1746789097.3628378,1746789097.3125975
678000,1746789097.4363496,1746789097.3861094
684000,1746789097.5184827,1746789097.4682424
693000,1746789097.5922632,1746789097.542023
699000,1746789097.6634138,1746789097.6131735
705000,1746789097.7341006,1746789097.6838603
711000,1746789097.8047256,1746789097.7544854
717000,1746789097.8759747,1746789097.8257344
723000,1746789097.950752,1746789097.9005117
729000,1746789098.030405,1746789097.9801648
741000,1746789098.1056907,1746789098.0554504
747000,1746789098.1798277,1746789098.1295874
753000,1746789098.254865,1746789098.2046247
756000,1746789098.325934,1746789098.2756937
765000,1746789098.3984675,1746789098.3482273
771000,1746789098.4814506,1746789098.4312103
780000,1746789098.5550027,1746789098.5047624
786000,1746789098.626878,1746789098.5766377
792000,1746789098.6972713,1746789098.647031
798000,1746789098.7783887,1746789098.7281485
807000,1746789098.8517296,1746789098.8014894
810000,1746789098.9262705,1746789098.8760302
819000,1746789099.008569,1746789098.9583287
825000,1746789099.0814688,1746789099.0312285
834000,1746789099.1540027,1746789099.1037624
840000,1746789099.2303114,1746789099.180071
846000,1746789099.3040955,1746789099.2538552
852000,1746789099.3796635,1746789099.3294232
861000,1746789099.4542868,1746789099.4040465
864000,1746789099.541024,1746789099.4907837
873000,1746789099.6174293,1746789099.567189
882000,1746789099.6937308,1746789099.6434906
888000,1746789099.7810314,1746789099.730791
897000,1746789099.8635428,1746789099.8133025
903000,1746789099.9413333,1746789099.891093
909000,1746789100.0154667,1746789099.9652264
918000,1746789100.0903153,1746789100.040075
924000,1746789100.1679566,1746789100.1177163
930000,1746789100.241846,1746789100.1916058
936000,1746789100.3143346,1746789100.2640944
945000,1746789100.3923705,1746789100.3421302
951000,1746789100.4679842,1746789100.417744
957000,1746789100.5581787,1746789100.5079384
966000,1746789100.6382957,1746789100.5880554
972000,1746789100.7133617,1746789100.6631215
978000,1746789100.788785,1746789100.7385447
987000,1746789100.8584497,1746789100.8082094
993000,1746789100.9375515,1746789100.8873112
1002000,1746789101.014754,1746789100.9645138
1005000,1746789101.0885425,1746789101.0383022
1014000,1746789101.1675103,1746789101.11727
1023000,1746789101.2407475,1746789101.1905072
1029000,1746789101.3133724,1746789101.263132
1035000,1746789101.391128,1746789101.3408878
1041000,1746789101.4737537,1746789101.4235134
1047000,1746789101.5486336,1746789101.4983933
1056000,1746789101.6142027,1746789101.5639625
