frame_count,raw_send_time,send_time
153000,1746789084.6297643,1746789091.3917208
156000,1746789084.6653154,1746789091.4272718
159000,1746789084.7098594,1746789091.4718158
162000,1746789084.7427888,1746789091.5047452
165000,1746789084.774958,1746789091.5369143
168000,1746789084.8066356,1746789091.568592
171000,1746789084.8409793,1746789091.6029358
174000,1746789084.8724096,1746789091.634366
177000,1746789084.9075441,1746789091.6695006
180000,1746789084.9329467,1746789091.6949031
183000,1746789084.983217,1746789091.7451735
186000,1746789085.0145621,1746789091.7765186
189000,1746789085.0496645,1746789091.811621
192000,1746789085.081041,1746789091.8429976
195000,1746789085.1135008,1746789091.8754573
198000,1746789085.143016,1746789091.9049726
201000,1746789085.1757226,1746789091.937679
204000,1746789085.1924324,1746789091.9543889
207000,1746789085.2219162,1746789091.9838727
210000,1746789085.2572374,1746789092.019194
213000,1746789085.2887256,1746789092.050682
216000,1746789085.3210258,1746789092.0829823
219000,1746789085.3845239,1746789092.1464803
222000,1746789085.4159708,1746789092.1779273
225000,1746789085.4478729,1746789092.2098293
228000,1746789085.462874,1746789092.2248304
231000,1746789085.4973974,1746789092.2593539
234000,1746789085.5277665,1746789092.289723
237000,1746789085.5686107,1746789092.3305671
240000,1746789085.6011276,1746789092.363084
243000,1746789085.6247418,1746789092.3866982
246000,1746789085.658031,1746789092.4199874
249000,1746789085.690825,1746789092.4527814
252000,1746789085.7205524,1746789092.482509
255000,1746789085.7682993,1746789092.5302558
258000,1746789085.8001418,1746789092.5620983
261000,1746789085.8324313,1746789092.5943878
264000,1746789085.8695908,1746789092.6315472
267000,1746789085.9012392,1746789092.6631956
270000,1746789085.9332376,1746789092.695194
273000,1746789085.95824,1746789092.7201965
276000,1746789086.0064745,1746789092.768431
279000,1746789086.038746,1746789092.8007026
282000,1746789086.0687585,1746789092.830715
285000,1746789086.0992785,1746789092.861235
288000,1746789086.134279,1746789092.8962355
291000,1746789086.1642826,1746789092.926239
294000,1746789086.196807,1746789092.9587634
297000,1746789086.2288065,1746789092.990763
300000,1746789086.2778187,1746789093.0397751
303000,1746789086.3083382,1746789093.0702946
306000,1746789086.3423407,1746789093.1042972
309000,1746789086.3756719,1746789093.1376283
312000,1746789086.406251,1746789093.1682074
315000,1746789086.4364877,1746789093.1984441
318000,1746789086.4694834,1746789093.2314398
321000,1746789086.5017397,1746789093.2636962
324000,1746789086.5174375,1746789093.279394
327000,1746789086.5855906,1746789093.347547
330000,1746789086.6192145,1746789093.381171
333000,1746789086.650219,1746789093.4121754
336000,1746789086.6834328,1746789093.4453893
339000,1746789086.7127721,1746789093.4747286
342000,1746789086.741087,1746789093.5030434
345000,1746789086.7581017,1746789093.5200582
348000,1746789086.788477,1746789093.5504334
351000,1746789086.819648,1746789093.5816045
354000,1746789086.8514485,1746789093.613405
357000,1746789086.8858907,1746789093.6478472
360000,1746789086.9160604,1746789093.678017
363000,1746789086.9811227,1746789093.7430792
366000,1746789087.0152085,1746789093.777165
369000,1746789087.0312052,1746789093.7931616
372000,1746789087.0613987,1746789093.8233552
375000,1746789087.0942185,1746789093.856175
378000,1746789087.1249292,1746789093.8868856
381000,1746789087.1581306,1746789093.920087
384000,1746789087.1885097,1746789093.9504662
387000,1746789087.2200534,1746789093.98201
390000,1746789087.2523184,1746789094.0142748
393000,1746789087.2838688,1746789094.0458252
396000,1746789087.332892,1746789094.0948484
399000,1746789087.3682814,1746789094.1302378
402000,1746789087.396864,1746789094.1588204
405000,1746789087.4288492,1746789094.1908057
408000,1746789087.4609947,1746789094.2229512
411000,1746789087.496068,1746789094.2580245
414000,1746789087.5277388,1746789094.2896953
417000,1746789087.573937,1746789094.3358934
420000,1746789087.604911,1746789094.3668675
423000,1746789087.642494,1746789094.4044504
426000,1746789087.670106,1746789094.4320624
429000,1746789087.7022269,1746789094.4641833
432000,1746789087.7331588,1746789094.4951153
435000,1746789087.7663114,1746789094.5282679
438000,1746789087.795886,1746789094.5578425
441000,1746789087.8447983,1746789094.6067548
444000,1746789087.879555,1746789094.6415114
447000,1746789087.910099,1746789094.6720555
450000,1746789087.9424505,1746789094.704407
453000,1746789087.9728878,1746789094.7348442
456000,1746789088.0049047,1746789094.7668612
459000,1746789088.046634,1746789094.8085904
462000,1746789088.0756865,1746789094.837643
